repository,name,value
https://github.com/clutchski/coffeelint,Number of watchers,825.0
https://github.com/clutchski/coffeelint,Has issues,1.0
https://github.com/clutchski/coffeelint,Size of repo,2236.0
https://github.com/clutchski/coffeelint,Active time in days,1833.0
https://github.com/clutchski/coffeelint,Has downloads,1.0
https://github.com/coala/coala,Number of open issues,379.0
https://github.com/coala/coala,Is a fork,0.0
https://github.com/coala/coala,Has wiki,1.0
https://github.com/coala/coala,Number of watchers,956.0
https://github.com/coala/coala,Has issues,1.0
https://github.com/coala/coala,Active time in days,963.0
https://github.com/coala/coala,Size of repo,10961.0
https://github.com/coala/coala,Has downloads,1.0
https://github.com/pre-commit/pre-commit,Number of open issues,35.0
https://github.com/pre-commit/pre-commit,Is a fork,0.0
https://github.com/pre-commit/pre-commit,Has wiki,1.0
https://github.com/pre-commit/pre-commit,Number of watchers,1068.0
https://github.com/pre-commit/pre-commit,Has issues,1.0
https://github.com/pre-commit/pre-commit,Has downloads,1.0
https://github.com/pre-commit/pre-commit,Active time in days,998.0
https://github.com/pre-commit/pre-commit,Size of repo,1195.0
https://github.com/yaniswang/HTMLHint,Number of open issues,51.0
https://github.com/yaniswang/HTMLHint,Is a fork,0.0
https://github.com/yaniswang/HTMLHint,Has wiki,1.0
https://github.com/yaniswang/HTMLHint,Number of watchers,1321.0
https://github.com/yaniswang/HTMLHint,Has issues,1.0
https://github.com/yaniswang/HTMLHint,Size of repo,1654.0
https://github.com/yaniswang/HTMLHint,Has downloads,1.0
https://github.com/yaniswang/HTMLHint,Active time in days,1394.0
https://github.com/checkstyle/checkstyle,Number of open issues,290.0
https://github.com/checkstyle/checkstyle,Is a fork,0.0
https://github.com/checkstyle/checkstyle,Has wiki,1.0
https://github.com/checkstyle/checkstyle,Number of watchers,1588.0
https://github.com/checkstyle/checkstyle,Has issues,1.0
https://github.com/checkstyle/checkstyle,Active time in days,1220.0
https://github.com/checkstyle/checkstyle,Size of repo,52814.0
https://github.com/checkstyle/checkstyle,Has downloads,1.0
https://github.com/oclint/oclint,Number of open issues,50.0
https://github.com/oclint/oclint,Is a fork,0.0
https://github.com/oclint/oclint,Has wiki,0.0
https://github.com/oclint/oclint,Number of watchers,1613.0
https://github.com/oclint/oclint,Has issues,1.0
https://github.com/oclint/oclint,Size of repo,1582.0
https://github.com/oclint/oclint,Has downloads,1.0
https://github.com/oclint/oclint,Active time in days,1479.0
https://github.com/golang/lint,Number of open issues,36.0
https://github.com/golang/lint,Is a fork,0.0
https://github.com/golang/lint,Has wiki,0.0
https://github.com/golang/lint,Number of watchers,1645.0
https://github.com/golang/lint,Has issues,1.0
https://github.com/golang/lint,Active time in days,1305.0
https://github.com/golang/lint,Size of repo,403.0
https://github.com/golang/lint,Has downloads,1.0
https://github.com/csscomb/csscomb.js,Number of open issues,125.0
https://github.com/csscomb/csscomb.js,Is a fork,0.0
https://github.com/csscomb/csscomb.js,Has wiki,0.0
https://github.com/csscomb/csscomb.js,Has issues,1.0
https://github.com/csscomb/csscomb.js,Number of watchers,1935.0
https://github.com/csscomb/csscomb.js,Has downloads,1.0
https://github.com/csscomb/csscomb.js,Size of repo,1469.0
https://github.com/csscomb/csscomb.js,Active time in days,1230.0
https://github.com/PyCQA/pycodestyle,Number of open issues,88.0
https://github.com/PyCQA/pycodestyle,Is a fork,0.0
https://github.com/PyCQA/pycodestyle,Has wiki,1.0
https://github.com/PyCQA/pycodestyle,Number of watchers,2029.0
https://github.com/PyCQA/pycodestyle,Has issues,1.0
https://github.com/PyCQA/pycodestyle,Active time in days,2648.0
https://github.com/PyCQA/pycodestyle,Size of repo,1251.0
https://github.com/PyCQA/pycodestyle,Has downloads,1.0
https://github.com/brigade/scss-lint,Number of open issues,57.0
https://github.com/brigade/scss-lint,Is a fork,0.0
https://github.com/brigade/scss-lint,Has wiki,0.0
https://github.com/brigade/scss-lint,Number of watchers,2629.0
https://github.com/brigade/scss-lint,Has issues,1.0
https://github.com/brigade/scss-lint,Has downloads,1.0
https://github.com/brigade/scss-lint,Active time in days,1471.0
https://github.com/brigade/scss-lint,Size of repo,2205.0
https://github.com/CSSLint/csslint,Number of open issues,191.0
